"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"860Z200US00961","ZCTA5 00961","39393","4141",
"860Z200US00962","ZCTA5 00962","21288","2268",
"860Z200US00965","ZCTA5 00965","19136","3228",
"860Z200US00966","ZCTA5 00966","60203","8950",
"860Z200US00968","ZCTA5 00968","58869","13383",
"860Z200US00969","ZCTA5 00969","61101","2717",
"860Z200US00971","ZCTA5 00971","29526","2940",
"860Z200US00976","ZCTA5 00976","39901","3199",
"860Z200US00979","ZCTA5 00979","40049","5409",
"860Z200US00982","ZCTA5 00982","28906","3496",
"860Z200US00983","ZCTA5 00983","35638","2520",
"860Z200US00985","ZCTA5 00985","33863","3601",
"860Z200US00987","ZCTA5 00987","43159","3064",
"860Z200US01001","ZCTA5 01001","75342","11300",
"860Z200US01002","ZCTA5 01002","70818","6278",
"860Z200US01003","ZCTA5 01003","-","**",
"860Z200US01005","ZCTA5 01005","111148","13151",
"860Z200US01007","ZCTA5 01007","108125","14995",
"860Z200US01008","ZCTA5 01008","97554","13768",
"860Z200US01009","ZCTA5 01009","72841","70062",
"860Z200US01010","ZCTA5 01010","111250","21930",
"860Z200US01011","ZCTA5 01011","89299","5025",
"860Z200US01012","ZCTA5 01012","83333","35292",
"860Z200US01013","ZCTA5 01013","59759","11502",
"860Z200US01020","ZCTA5 01020","66009","8788",
"860Z200US01022","ZCTA5 01022","51373","9425",
"860Z200US01026","ZCTA5 01026","92250","32150",
"860Z200US01027","ZCTA5 01027","74146","6543",
"860Z200US01028","ZCTA5 01028","106424","11085",
"860Z200US01029","ZCTA5 01029","107679","12324",
"860Z200US01030","ZCTA5 01030","93815","15277",
"860Z200US01031","ZCTA5 01031","60517","26236",
"860Z200US01032","ZCTA5 01032","97500","12448",
"860Z200US01033","ZCTA5 01033","119297","32508",
"860Z200US01034","ZCTA5 01034","91016","15271",
"860Z200US01035","ZCTA5 01035","119259","11537",
"860Z200US01036","ZCTA5 01036","104536","16485",
"860Z200US01037","ZCTA5 01037","74722","23047",
"860Z200US01038","ZCTA5 01038","106635","29473",
"860Z200US01039","ZCTA5 01039","116429","22078",
"860Z200US01040","ZCTA5 01040","53605","3395",
"860Z200US01050","ZCTA5 01050","95882","11231",
"860Z200US01053","ZCTA5 01053","92582","20496",
"860Z200US01054","ZCTA5 01054","104688","18205",
"860Z200US01056","ZCTA5 01056","84838","6856",
"860Z200US01057","ZCTA5 01057","98508","12717",
"860Z200US01060","ZCTA5 01060","76848","5763",
"860Z200US01062","ZCTA5 01062","87588","11512",
"860Z200US01063","ZCTA5 01063","91344","382",
"860Z200US01066","ZCTA5 01066","-","**",
"860Z200US01068","ZCTA5 01068","102000","20083",
"860Z200US01069","ZCTA5 01069","80190","9408",
"860Z200US01070","ZCTA5 01070","60536","9424",
"860Z200US01071","ZCTA5 01071","111042","23584",
"860Z200US01072","ZCTA5 01072","111667","15817",
"860Z200US01073","ZCTA5 01073","123125","23452",
"860Z200US01074","ZCTA5 01074","79583","69121",
"860Z200US01075","ZCTA5 01075","93910","15297",
"860Z200US01077","ZCTA5 01077","120462","16246",
"860Z200US01079","ZCTA5 01079","70588","44756",
"860Z200US01080","ZCTA5 01080","89063","23315",
"860Z200US01081","ZCTA5 01081","86979","6140",
"860Z200US01082","ZCTA5 01082","69018","14964",
"860Z200US01083","ZCTA5 01083","64032","37553",
"860Z200US01084","ZCTA5 01084","93125","3462",
"860Z200US01085","ZCTA5 01085","88728","5376",
"860Z200US01088","ZCTA5 01088","85368","53819",
"860Z200US01089","ZCTA5 01089","69371","7051",
"860Z200US01092","ZCTA5 01092","68614","15242",
"860Z200US01093","ZCTA5 01093","110909","59809",
"860Z200US01094","ZCTA5 01094","-","**",
"860Z200US01095","ZCTA5 01095","122330","14464",
"860Z200US01096","ZCTA5 01096","104375","11780",
"860Z200US01097","ZCTA5 01097","-","**",
"860Z200US01098","ZCTA5 01098","96250","13775",
"860Z200US01103","ZCTA5 01103","21355","5274",
"860Z200US01104","ZCTA5 01104","50154","7617",
"860Z200US01105","ZCTA5 01105","24036","3543",
"860Z200US01106","ZCTA5 01106","147935","16512",
"860Z200US01107","ZCTA5 01107","35632","8454",
"860Z200US01108","ZCTA5 01108","50661","5742",
"860Z200US01109","ZCTA5 01109","48415","5236",
"860Z200US01118","ZCTA5 01118","80250","8586",
"860Z200US01119","ZCTA5 01119","57857","6777",
"860Z200US01128","ZCTA5 01128","100313","26823",
"860Z200US01129","ZCTA5 01129","97162","11077",
"860Z200US01144","ZCTA5 01144","-","**",
"860Z200US01151","ZCTA5 01151","55324","5157",
"860Z200US01201","ZCTA5 01201","71093","4250",
"860Z200US01220","ZCTA5 01220","58929","6279",
"860Z200US01222","ZCTA5 01222","71042","26829",
"860Z200US01223","ZCTA5 01223","86818","22516",
"860Z200US01224","ZCTA5 01224","76222","24222",
"860Z200US01225","ZCTA5 01225","69803","14119",
"860Z200US01226","ZCTA5 01226","79438","7763",
"860Z200US01229","ZCTA5 01229","-","**",
"860Z200US01230","ZCTA5 01230","86694","9029",
"860Z200US01235","ZCTA5 01235","79327","15814",
"860Z200US01236","ZCTA5 01236","111250","46021",
"860Z200US01237","ZCTA5 01237","90898","18854",
"860Z200US01238","ZCTA5 01238","84591","12703",
"860Z200US01240","ZCTA5 01240","107826","28680",
"860Z200US01242","ZCTA5 01242","-","**",
"860Z200US01243","ZCTA5 01243","91250","9456",
"860Z200US01244","ZCTA5 01244","75833","59448",
"860Z200US01245","ZCTA5 01245","136875","75059",
"860Z200US01247","ZCTA5 01247","52330","5835",
"860Z200US01253","ZCTA5 01253","116806","26734",
"860Z200US01254","ZCTA5 01254","125893","29462",
"860Z200US01255","ZCTA5 01255","91111","22815",
"860Z200US01256","ZCTA5 01256","61328","26970",
"860Z200US01257","ZCTA5 01257","102788","38325",
"860Z200US01258","ZCTA5 01258","142500","26393",
"860Z200US01259","ZCTA5 01259","158125","29455",
"860Z200US01260","ZCTA5 01260","-","**",
"860Z200US01262","ZCTA5 01262","145750","60136",
"860Z200US01264","ZCTA5 01264","93750","40951",
"860Z200US01266","ZCTA5 01266","100417","7966",
"860Z200US01267","ZCTA5 01267","106375","23529",
"860Z200US01270","ZCTA5 01270","116375","10376",
"860Z200US01301","ZCTA5 01301","56176","7596",
"860Z200US01330","ZCTA5 01330","83493","12113",
"860Z200US01331","ZCTA5 01331","72181","8015",
"860Z200US01337","ZCTA5 01337","85045","9232",
"860Z200US01338","ZCTA5 01338","50521","18657",
"860Z200US01339","ZCTA5 01339","68365","25580",
"860Z200US01340","ZCTA5 01340","78804","7539",
